Record Length,2000,,Source,CH1
Sample Interval,CH1:0.0000000040000,,Second,Volt
,,,-0.00000245200,5.80000,
,,,-0.00000244800,5.80000,
,,,-0.00000244400,5.80000,
,,,-0.00000244000,6.00000,
,,,-0.00000243600,6.00000,
,,,-0.00000243200,5.80000,
,,,-0.00000242800,5.80000,
,,,-0.00000242400,5.80000,
,,,-0.00000242000,5.80000,
,,,-0.00000241600,5.80000,
,,,-0.00000241200,5.80000,
,,,-0.00000240800,5.80000,
,,,-0.00000240400,5.80000,
,,,-0.00000240000,5.80000,
,,,-0.00000239600,5.80000,
,,,-0.00000239200,5.80000,
,,,-0.00000238800,5.80000,
,,,-0.00000238400,5.80000,
,,,-0.00000238000,6.00000,
,,,-0.00000237600,6.00000,
,,,-0.00000237200,5.80000,
,,,-0.00000236800,5.80000,
,,,-0.00000236400,5.80000,
,,,-0.00000236000,6.00000,
,,,-0.00000235600,6.00000,
,,,-0.00000235200,5.80000,
,,,-0.00000234800,5.80000,
,,,-0.00000234400,5.80000,
,,,-0.00000234000,5.80000,
,,,-0.00000233600,5.80000,
,,,-0.00000233200,5.80000,
,,,-0.00000232800,5.80000,
,,,-0.00000232400,5.80000,
,,,-0.00000232000,5.80000,
,,,-0.00000231600,5.80000,
,,,-0.00000231200,5.80000,
,,,-0.00000230800,6.00000,
,,,-0.00000230400,6.00000,
,,,-0.00000230000,5.80000,
,,,-0.00000229600,6.00000,
,,,-0.00000229200,6.00000,
,,,-0.00000228800,5.80000,
,,,-0.00000228400,6.00000,
,,,-0.00000228000,6.00000,
,,,-0.00000227600,6.00000,
,,,-0.00000227200,6.00000,
,,,-0.00000226800,5.80000,
,,,-0.00000226400,5.80000,
,,,-0.00000226000,6.00000,
,,,-0.00000225600,6.00000,
,,,-0.00000225200,5.80000,
,,,-0.00000224800,5.80000,
,,,-0.00000224400,5.80000,
,,,-0.00000224000,5.80000,
,,,-0.00000223600,5.80000,
,,,-0.00000223200,5.80000,
,,,-0.00000222800,5.80000,
,,,-0.00000222400,5.80000,
,,,-0.00000222000,6.00000,
,,,-0.00000221600,6.00000,
,,,-0.00000221200,5.80000,
,,,-0.00000220800,5.80000,
,,,-0.00000220400,5.80000,
,,,-0.00000220000,5.80000,
,,,-0.00000219600,5.80000,
,,,-0.00000219200,5.80000,
,,,-0.00000218800,5.80000,
,,,-0.00000218400,5.80000,
,,,-0.00000218000,5.80000,
,,,-0.00000217600,6.00000,
,,,-0.00000217200,6.00000,
,,,-0.00000216800,5.80000,
,,,-0.00000216400,5.80000,
,,,-0.00000216000,6.00000,
,,,-0.00000215600,6.00000,
,,,-0.00000215200,5.80000,
,,,-0.00000214800,5.80000,
,,,-0.00000214400,5.80000,
,,,-0.00000214000,6.00000,
,,,-0.00000213600,6.00000,
,,,-0.00000213200,5.80000,
,,,-0.00000212800,5.80000,
,,,-0.00000212400,5.80000,
,,,-0.00000212000,6.00000,
,,,-0.00000211600,6.00000,
,,,-0.00000211200,6.00000,
,,,-0.00000210800,5.80000,
,,,-0.00000210400,5.80000,
,,,-0.00000210000,6.00000,
,,,-0.00000209600,6.00000,
,,,-0.00000209200,5.80000,
,,,-0.00000208800,5.80000,
,,,-0.00000208400,6.00000,
,,,-0.00000208000,6.00000,
,,,-0.00000207600,6.00000,
,,,-0.00000207200,5.80000,
,,,-0.00000206800,5.80000,
,,,-0.00000206400,5.80000,
,,,-0.00000206000,6.00000,
,,,-0.00000205600,6.00000,
,,,-0.00000205200,6.00000,
,,,-0.00000204800,5.80000,
,,,-0.00000204400,5.80000,
,,,-0.00000204000,6.00000,
,,,-0.00000203600,6.00000,
,,,-0.00000203200,5.80000,
,,,-0.00000202800,5.80000,
,,,-0.00000202400,5.80000,
,,,-0.00000202000,6.00000,
,,,-0.00000201600,6.00000,
,,,-0.00000201200,6.00000,
,,,-0.00000200800,5.80000,
,,,-0.00000200400,5.80000,
,,,-0.00000200000,5.80000,
,,,-0.00000199600,5.80000,
,,,-0.00000199200,5.80000,
,,,-0.00000198800,5.80000,
,,,-0.00000198400,5.80000,
,,,-0.00000198000,5.80000,
,,,-0.00000197600,5.80000,
,,,-0.00000197200,5.80000,
,,,-0.00000196800,5.80000,
,,,-0.00000196400,6.00000,
,,,-0.00000196000,6.00000,
,,,-0.00000195600,5.80000,
,,,-0.00000195200,6.00000,
,,,-0.00000194800,6.00000,
,,,-0.00000194400,5.80000,
,,,-0.00000194000,6.00000,
,,,-0.00000193600,6.00000,
,,,-0.00000193200,6.00000,
,,,-0.00000192800,5.80000,
,,,-0.00000192400,5.80000,
,,,-0.00000192000,5.80000,
,,,-0.00000191600,5.80000,
,,,-0.00000191200,5.80000,
,,,-0.00000190800,5.80000,
,,,-0.00000190400,5.80000,
,,,-0.00000190000,5.80000,
,,,-0.00000189600,5.80000,
,,,-0.00000189200,5.80000,
,,,-0.00000188800,5.80000,
,,,-0.00000188400,5.80000,
,,,-0.00000188000,6.00000,
,,,-0.00000187600,6.00000,
,,,-0.00000187200,6.00000,
,,,-0.00000186800,5.80000,
,,,-0.00000186400,6.00000,
,,,-0.00000186000,6.00000,
,,,-0.00000185600,5.80000,
,,,-0.00000185200,6.00000,
,,,-0.00000184800,6.00000,
,,,-0.00000184400,6.00000,
,,,-0.00000184000,6.00000,
,,,-0.00000183600,6.00000,
,,,-0.00000183200,6.00000,
,,,-0.00000182800,5.80000,
,,,-0.00000182400,5.80000,
,,,-0.00000182000,6.00000,
,,,-0.00000181600,6.00000,
,,,-0.00000181200,5.80000,
,,,-0.00000180800,5.80000,
,,,-0.00000180400,6.00000,
,,,-0.00000180000,6.00000,
,,,-0.00000179600,5.80000,
,,,-0.00000179200,6.00000,
,,,-0.00000178800,6.00000,
,,,-0.00000178400,5.80000,
,,,-0.00000178000,5.80000,
,,,-0.00000177600,5.80000,
,,,-0.00000177200,5.80000,
,,,-0.00000176800,5.80000,
,,,-0.00000176400,6.00000,
,,,-0.00000176000,6.00000,
,,,-0.00000175600,6.00000,
,,,-0.00000175200,6.00000,
,,,-0.00000174800,6.00000,
,,,-0.00000174400,5.80000,
,,,-0.00000174000,6.00000,
,,,-0.00000173600,6.00000,
,,,-0.00000173200,6.00000,
,,,-0.00000172800,5.80000,
,,,-0.00000172400,5.80000,
,,,-0.00000172000,6.00000,
,,,-0.00000171600,6.00000,
,,,-0.00000171200,6.00000,
,,,-0.00000170800,5.80000,
,,,-0.00000170400,5.80000,
,,,-0.00000170000,6.00000,
,,,-0.00000169600,6.00000,
,,,-0.00000169200,5.80000,
,,,-0.00000168800,5.80000,
,,,-0.00000168400,5.80000,
,,,-0.00000168000,6.00000,
,,,-0.00000167600,6.00000,
,,,-0.00000167200,6.00000,
,,,-0.00000166800,5.80000,
,,,-0.00000166400,5.80000,
,,,-0.00000166000,6.00000,
,,,-0.00000165600,6.00000,
,,,-0.00000165200,6.00000,
,,,-0.00000164800,5.80000,
,,,-0.00000164400,6.00000,
,,,-0.00000164000,6.00000,
,,,-0.00000163600,6.00000,
,,,-0.00000163200,5.80000,
,,,-0.00000162800,5.80000,
,,,-0.00000162400,5.80000,
,,,-0.00000162000,6.00000,
,,,-0.00000161600,6.00000,
,,,-0.00000161200,5.80000,
,,,-0.00000160800,5.80000,
,,,-0.00000160400,5.80000,
,,,-0.00000160000,5.80000,
,,,-0.00000159600,5.80000,
,,,-0.00000159200,5.80000,
,,,-0.00000158800,5.80000,
,,,-0.00000158400,5.80000,
,,,-0.00000158000,6.00000,
,,,-0.00000157600,6.00000,
,,,-0.00000157200,5.80000,
,,,-0.00000156800,5.80000,
,,,-0.00000156400,5.80000,
,,,-0.00000156000,5.80000,
,,,-0.00000155600,6.00000,
,,,-0.00000155200,6.00000,
,,,-0.00000154800,5.80000,
,,,-0.00000154400,5.80000,
,,,-0.00000154000,6.00000,
,,,-0.00000153600,6.00000,
,,,-0.00000153200,6.00000,
,,,-0.00000152800,5.80000,
,,,-0.00000152400,5.80000,
,,,-0.00000152000,6.00000,
,,,-0.00000151600,6.20000,
,,,-0.00000151200,6.00000,
,,,-0.00000150800,5.80000,
,,,-0.00000150400,5.80000,
,,,-0.00000150000,6.00000,
,,,-0.00000149600,6.00000,
,,,-0.00000149200,6.00000,
,,,-0.00000148800,5.80000,
,,,-0.00000148400,6.00000,
,,,-0.00000148000,6.00000,
,,,-0.00000147600,6.00000,
,,,-0.00000147200,5.80000,
,,,-0.00000146800,5.80000,
,,,-0.00000146400,6.00000,
,,,-0.00000146000,6.00000,
,,,-0.00000145600,6.00000,
,,,-0.00000145200,5.80000,
,,,-0.00000144800,5.80000,
,,,-0.00000144400,5.80000,
,,,-0.00000144000,6.00000,
,,,-0.00000143600,6.00000,
,,,-0.00000143200,5.80000,
,,,-0.00000142800,5.80000,
,,,-0.00000142400,5.80000,
,,,-0.00000142000,6.00000,
,,,-0.00000141600,6.00000,
,,,-0.00000141200,5.80000,
,,,-0.00000140800,5.80000,
,,,-0.00000140400,6.00000,
,,,-0.00000140000,6.00000,
,,,-0.00000139600,6.00000,
,,,-0.00000139200,5.80000,
,,,-0.00000138800,5.80000,
,,,-0.00000138400,5.80000,
,,,-0.00000138000,5.80000,
,,,-0.00000137600,5.80000,
,,,-0.00000137200,5.80000,
,,,-0.00000136800,5.80000,
,,,-0.00000136400,5.80000,
,,,-0.00000136000,5.80000,
,,,-0.00000135600,6.00000,
,,,-0.00000135200,6.00000,
,,,-0.00000134800,5.80000,
,,,-0.00000134400,5.80000,
,,,-0.00000134000,6.00000,
,,,-0.00000133600,6.00000,
,,,-0.00000133200,5.80000,
,,,-0.00000132800,5.80000,
,,,-0.00000132400,5.80000,
,,,-0.00000132000,6.00000,
,,,-0.00000131600,6.00000,
,,,-0.00000131200,6.00000,
,,,-0.00000130800,5.80000,
,,,-0.00000130400,5.80000,
,,,-0.00000130000,6.00000,
,,,-0.00000129600,6.00000,
,,,-0.00000129200,5.80000,
,,,-0.00000128800,6.00000,
,,,-0.00000128400,6.00000,
,,,-0.00000128000,5.80000,
,,,-0.00000127600,5.80000,
,,,-0.00000127200,5.80000,
,,,-0.00000126800,5.80000,
,,,-0.00000126400,6.00000,
,,,-0.00000126000,6.00000,
,,,-0.00000125600,6.00000,
,,,-0.00000125200,5.80000,
,,,-0.00000124800,5.80000,
,,,-0.00000124400,6.00000,
,,,-0.00000124000,6.00000,
,,,-0.00000123600,6.00000,
,,,-0.00000123200,5.80000,
,,,-0.00000122800,5.80000,
,,,-0.00000122400,6.00000,
,,,-0.00000122000,6.00000,
,,,-0.00000121600,6.00000,
,,,-0.00000121200,5.80000,
,,,-0.00000120800,5.80000,
,,,-0.00000120400,5.80000,
,,,-0.00000120000,5.80000,
,,,-0.00000119600,5.80000,
,,,-0.00000119200,5.80000,
,,,-0.00000118800,5.80000,
,,,-0.00000118400,5.80000,
,,,-0.00000118000,6.00000,
,,,-0.00000117600,6.00000,
,,,-0.00000117200,6.00000,
,,,-0.00000116800,5.80000,
,,,-0.00000116400,5.80000,
,,,-0.00000116000,6.00000,
,,,-0.00000115600,6.00000,
,,,-0.00000115200,6.00000,
,,,-0.00000114800,5.80000,
,,,-0.00000114400,6.00000,
,,,-0.00000114000,6.00000,
,,,-0.00000113600,6.00000,
,,,-0.00000113200,5.80000,
,,,-0.00000112800,5.80000,
,,,-0.00000112400,5.80000,
,,,-0.00000112000,6.00000,
,,,-0.00000111600,6.00000,
,,,-0.00000111200,6.00000,
,,,-0.00000110800,5.80000,
,,,-0.00000110400,6.00000,
,,,-0.00000110000,6.00000,
,,,-0.00000109600,6.00000,
,,,-0.00000109200,5.80000,
,,,-0.00000108800,5.80000,
,,,-0.00000108400,5.80000,
,,,-0.00000108000,5.80000,
,,,-0.00000107600,5.80000,
,,,-0.00000107200,5.80000,
,,,-0.00000106800,5.80000,
,,,-0.00000106400,5.80000,
,,,-0.00000106000,6.00000,
,,,-0.00000105600,6.00000,
,,,-0.00000105200,6.00000,
,,,-0.00000104800,5.80000,
,,,-0.00000104400,6.00000,
,,,-0.00000104000,6.00000,
,,,-0.00000103600,6.00000,
,,,-0.00000103200,6.00000,
,,,-0.00000102800,5.80000,
,,,-0.00000102400,5.80000,
,,,-0.00000102000,6.00000,
,,,-0.00000101600,6.00000,
,,,-0.00000101200,5.80000,
,,,-0.00000100800,5.80000,
,,,-0.00000100400,6.00000,
,,,-0.00000100000,6.00000,
,,,-0.00000099600,5.80000,
,,,-0.00000099200,5.80000,
,,,-0.00000098800,5.80000,
,,,-0.00000098400,5.80000,
,,,-0.00000098000,6.00000,
,,,-0.00000097600,6.00000,
,,,-0.00000097200,5.80000,
,,,-0.00000096800,5.80000,
,,,-0.00000096400,5.80000,
,,,-0.00000096000,6.00000,
,,,-0.00000095600,6.00000,
,,,-0.00000095200,6.00000,
,,,-0.00000094800,5.80000,
,,,-0.00000094400,6.00000,
,,,-0.00000094000,6.00000,
,,,-0.00000093600,6.00000,
,,,-0.00000093200,5.80000,
,,,-0.00000092800,5.80000,
,,,-0.00000092400,5.80000,
,,,-0.00000092000,6.00000,
,,,-0.00000091600,6.00000,
,,,-0.00000091200,5.80000,
,,,-0.00000090800,5.80000,
,,,-0.00000090400,5.80000,
,,,-0.00000090000,5.80000,
,,,-0.00000089600,5.80000,
,,,-0.00000089200,5.80000,
,,,-0.00000088800,5.80000,
,,,-0.00000088400,5.80000,
,,,-0.00000088000,5.80000,
,,,-0.00000087600,5.80000,
,,,-0.00000087200,5.80000,
,,,-0.00000086800,5.80000,
,,,-0.00000086400,6.00000,
,,,-0.00000086000,6.00000,
,,,-0.00000085600,6.00000,
,,,-0.00000085200,5.80000,
,,,-0.00000084800,5.80000,
,,,-0.00000084400,5.80000,
,,,-0.00000084000,6.00000,
,,,-0.00000083600,6.00000,
,,,-0.00000083200,6.00000,
,,,-0.00000082800,5.80000,
,,,-0.00000082400,5.80000,
,,,-0.00000082000,6.00000,
,,,-0.00000081600,6.00000,
,,,-0.00000081200,5.80000,
,,,-0.00000080800,5.80000,
,,,-0.00000080400,5.80000,
,,,-0.00000080000,5.80000,
,,,-0.00000079600,5.80000,
,,,-0.00000079200,5.80000,
,,,-0.00000078800,5.80000,
,,,-0.00000078400,5.80000,
,,,-0.00000078000,5.80000,
,,,-0.00000077600,5.80000,
